NAME,STUSPS,INTPTLAT,INTPTLON
Cache,UT,+41.7341179,-111.7453936
Pierce,WI,+44.7253365,-092.4262793
Charlton,GA,+30.7799036,-082.1396442
Polk,GA,+33.9960153,-085.1883384
McLean,IL,+40.4945594,-088.8445391
Androscoggin,ME,+44.1676811,-070.2074347
Kootenai,ID,+47.6759569,-116.6959192
Clark,NV,+36.2141295,-115.0143977
Phillips,KS,+39.7845058,-099.3421498
Holt,NE,+42.4592867,-098.7847662
Johnson,MO,+38.7415280,-093.8118634
La Crosse,WI,+43.9082222,-091.1117584
Caldwell,LA,+32.1012195,-092.1142311
Edmonson,KY,+37.2275136,-086.2180153
Bond,IL,+38.8859240,-089.4365916
Brown,IL,+39.9620694,-090.7503095
McLeod,MN,+44.8216571,-094.2723231
Dunn,WI,+44.9477513,-091.8976451
Custer,CO,+38.1019955,-105.3735123
Madison,MO,+37.4744807,-090.3434128
Nolan,TX,+32.3123379,-100.4181078
Wayne,PA,+41.6466021,-075.2924932
Saratoga,NY,+43.1061353,-073.8553872
Brazos,TX,+30.6567132,-096.3023935
Marshall,OK,+34.0270069,-096.7705327
Allegany,MD,+39.6123134,-078.7031037
Wetzel,WV,+39.5981800,-080.6353994
Jackson,WI,+44.3245897,-090.7995104
Clatsop,OR,+46.0245094,-123.7050366
Lewis,WA,+46.5800714,-122.3774443
Allegany,NY,+42.2478532,-078.0261531
Cedar,IA,+41.7723600,-091.1326105
Orange,IN,+38.5473812,-086.4892570
DeKalb,GA,+33.7706611,-084.2263432
Pickens,GA,+34.4567558,-084.4903656
Chouteau,MT,+47.8868343,-110.4362004
Brown,NE,+42.3595618,-099.9239198
Campbell,TN,+36.4015922,-084.1592495
Franklin,NC,+36.0882466,-078.2830821
Baltimore,MD,+39.3000324,-076.6104761
Lyon,KS,+38.4554034,-096.1616407
Carroll,IA,+42.0395021,-094.8676496
Tensas,LA,+32.0014894,-091.3425760
Monroe,TN,+35.4478181,-084.2497050
Hamilton,KS,+37.9952438,-101.7936887
Pocahontas,IA,+42.7340333,-094.6782789
Gem,ID,+44.0614727,-116.3987839
Independence,AR,+35.7374992,-091.5599423
Lonoke,AR,+34.7551137,-091.8941320
Newton,IN,+40.9623985,-087.4021716
Franklin,GA,+34.3752657,-083.2275325
Hendry,FL,+26.5399670,-081.1521142
Taliaferro,GA,+33.5593190,-082.8752721
Jefferson,TX,+29.8539997,-094.1493306
Meagher,MT,+46.5856996,-110.9217396
La Plata,CO,+37.2873673,-107.8397178
Bell,TX,+31.0427336,-097.4812603
Kemper,MS,+32.7501361,-088.6256306
Clark,AR,+34.0533162,-093.1762085
Klamath,OR,+42.6837613,-121.6461682
Oswego,NY,+43.4614431,-076.2092618
Naranjito,PR,+18.2899204,-066.2534399
Cherokee,AL,+34.0695153,-085.6542417
Bandera,TX,+29.7563890,-099.2482849
Rosebud,MT,+46.1732061,-106.6667917
Union,NM,+36.4880853,-103.4757229
Schoolcraft,MI,+46.0211217,-086.1970290
Ulster,NY,+41.9472124,-074.2654582
Camden,NJ,+39.8024071,-074.9612493
Jersey,IL,+39.0801945,-090.3613850
Hanover,VA,+37.7602149,-077.4913168
Wallace,KS,+38.9266259,-101.7711031
Alger,MI,+46.5217365,-086.6571192
Fulton,AR,+36.3813225,-091.8192849
Hidalgo,TX,+26.3963839,-098.1809900
Robeson,NC,+34.6392096,-079.1008811
Newaygo,MI,+43.5627117,-085.7913723
Morrow,OR,+45.4254956,-119.6023111
Todd,MN,+46.0665694,-094.9005758
Logan,AR,+35.2186538,-093.7209102
Lincoln,NC,+35.4884909,-081.2268928
Miller,AR,+33.3055054,-093.9015018
Orange,FL,+28.5143906,-081.3232839
San Juan,CO,+37.7810492,-107.6702567
Franklin,ID,+42.1736093,-111.8229653
Carroll,GA,+33.5822366,-085.0805272
Riley,KS,+39.2912101,-096.7274879
Schleicher,TX,+30.8962331,-100.5272161
Russell,VA,+36.9334198,-082.0959342
Caldwell,NC,+35.9663959,-081.5125404
Madison,ID,+43.7886140,-111.6569925
Warrick,IN,+38.0977282,-087.2720486
Adair,KY,+37.1055589,-085.2813796
Gallatin,KY,+38.7556634,-084.8651432
Harrison,KY,+38.4445776,-084.3341313
Sagadahoc,ME,+43.9168446,-069.8442270
Sweet Grass,MT,+45.8112917,-109.9447960
Grayson,TX,+33.6245482,-096.6757774
Greene,PA,+39.8477067,-080.2256552
Northwest Arctic,AK,+67.0050655,-160.0210864
Ellis,KS,+38.9145967,-099.3173133
Hale,AL,+32.7527958,-087.6230608
Perry,AL,+32.6390053,-087.2938269
Colbert,AL,+34.7031120,-087.8014569
Pratt,KS,+37.6475943,-098.7401199
Bourbon,KY,+38.2025623,-084.2098602
Rutherford,TN,+35.8433688,-086.4172127
Cook,GA,+31.1525157,-083.4294448
Lane,KS,+38.4812863,-100.4661853
Harper,OK,+36.8003504,-099.6628052
Piatt,IL,+40.0090327,-088.5923546
Crosby,TX,+33.6091440,-101.2987099
Fajardo,PR,+18.3863776,-065.5884540
Greene,AL,+32.8444965,-087.9642005
Clark,ID,+44.2902180,-112.3546128
Kossuth,IA,+43.2123359,-094.2139713
Yabucoa,PR,+18.0598584,-065.8598713
Burke,ND,+48.7864534,-102.5200874
Durham,NC,+36.0338282,-078.8781246
Harrison,IA,+41.6885844,-095.8271491
Keya Paha,NE,+42.8754803,-099.7183514
Webster,IA,+42.4335786,-094.1758309
Pope,IL,+37.4171687,-088.5423737
Smith,TN,+36.2566451,-085.9419149
Henry,VA,+36.6206119,-079.9806618
Alexandria,VA,+38.8192511,-077.0836695
Jefferson,IA,+41.0063762,-091.9666277
Lewis and Clark,MT,+47.1221055,-112.3828900
Duchesne,UT,+40.2893927,-110.4295838
Alfalfa,OK,+36.7297032,-098.3234449
Delta,TX,+33.3859329,-095.6733504
Trousdale,TN,+36.3930297,-086.1566909
Perry,KY,+37.2412822,-083.2177723
Deuel,SD,+44.7562899,-096.6902393
Jackson,OR,+42.4116214,-122.6756106
Hormigueros,PR,+18.1346949,-067.1161994
Zavala,TX,+28.8646523,-099.7598304
Banner,NE,+41.5397495,-103.7262626
Madison,IA,+41.3306216,-094.0151842
Broward,FL,+26.1935353,-080.4766834
Toombs,GA,+32.1177534,-082.3305967
Sanilac,MI,+43.4491547,-082.6428148
Rockwall,TX,+32.8998859,-096.4120504
Wayne,MI,+42.2846636,-083.2619533
Nobles,MN,+43.6776863,-095.7631323
Aitkin,MN,+46.6024089,-093.4196935
Ramsey,ND,+48.2661631,-098.7390310
Person,NC,+36.3863574,-078.9656332
Trego,KS,+38.9213022,-099.8654230
Washington,MS,+33.2731740,-090.9444459
Eastland,TX,+32.3246454,-098.8365596
Issaquena,MS,+32.7555393,-091.0035351
DeWitt,TX,+29.0823457,-097.3616543
Angelina,TX,+31.2518963,-094.6111337
Saluda,SC,+34.0052784,-081.7279033
Maries,MO,+38.1626154,-091.9236010
Arkansas,AR,+34.2895697,-091.3765466
Lawrence,MO,+37.1066109,-093.8305422
Charlottesville,VA,+38.0376579,-078.4853806
Bureau,IL,+41.4013043,-089.5283772
Scioto,OH,+38.8148886,-082.9986750
Madison,NC,+35.8642058,-082.7126309
Jerome,ID,+42.6913953,-114.2620858
Vinton,OH,+39.2520418,-082.4859614
McLennan,TX,+31.5495958,-097.2015108
Custer,ID,+44.2733510,-114.2522675
Howard,IA,+43.3653125,-092.3219084
Palm Beach,FL,+26.6491257,-080.4483542
Lincoln,GA,+33.7921507,-082.4482992
Butler,AL,+31.7516670,-086.6819689
Sumner,TN,+36.4724225,-086.4584051
King and Queen,VA,+37.7177719,-076.9055814
Carroll,AR,+36.3373704,-093.5409718
Waynesboro,VA,+38.0671571,-078.9014197
Sitka,AK,+57.1932044,-135.3673965
Multnomah,OR,+45.5477107,-122.4173625
Grundy,TN,+35.3933519,-085.7103737
Hubbard,MN,+47.0955506,-094.9132898
Sargent,ND,+46.1082035,-097.6300507
St. Lawrence,NY,+44.4881125,-075.0743110
Reynolds,MO,+37.3664637,-090.9722821
Sacramento,CA,+38.4501363,-121.3443291
Paulding,OH,+41.1189483,-084.5821249
Wells,IN,+40.7355466,-085.2133492
Floyd,VA,+36.9314331,-080.3502662
Santa Barbara,CA,+34.5366774,-120.0383645
Boone,WV,+38.0228143,-081.7135382
Benton,MS,+34.8095927,-089.2002130
Crittenden,KY,+37.3581494,-088.1050103
Palo Alto,IA,+43.0753374,-094.6690546
Ringgold,IA,+40.7353342,-094.2442514
Randolph,NC,+35.7099148,-079.8062153
Cecil,MD,+39.5623537,-075.9415852
Warren,IN,+40.3524984,-087.3751633
Greeley,NE,+41.5675626,-098.5305674
Jefferson,NE,+40.1757356,-097.1431027
Saline,NE,+40.5168024,-097.1317550
Knott,KY,+37.3543684,-082.9525461
Clinton,IA,+41.8980732,-090.5342431
Jackson,MN,+43.6711110,-095.1497314
Dodge,MN,+44.0207056,-092.8693529
Freeborn,MN,+43.6742019,-093.3502887
Calaveras,CA,+38.1910682,-120.5541065
Barnstable,MA,+41.7061233,-070.1648227
Middlesex,VA,+37.6069753,-076.5280819
Jefferson,PA,+41.1380282,-079.0124190
Lake,IN,+41.4722470,-087.3743368
Bedford,TN,+35.5136604,-086.4582939
Clay,TN,+36.5457493,-085.5457173
Coles,IL,+39.5136797,-088.2207820
Lauderdale,TN,+35.7629507,-089.6277318
Baker,OR,+44.7034268,-117.6919334
Schuyler,NY,+42.4197755,-076.9386030
Van Buren,MI,+42.2821497,-086.3060762
Mercer,IL,+41.2056046,-090.7417698
Lawrence,KY,+38.0744531,-082.7382903
Morgan,KY,+37.9229402,-083.2589444
Muhlenberg,KY,+37.2138159,-087.1340919
Effingham,IL,+39.0479445,-088.5928488
Loudon,TN,+35.7350854,-084.3140848
Clark,SD,+44.8552107,-097.7249124
Honolulu,HI,+21.4613654,-158.2019740
Gilchrist,FL,+29.7234556,-082.7958011
Tippecanoe,IN,+40.3891334,-086.8935538
Snyder,PA,+40.7554117,-077.0730201
Lamar,TX,+33.6672628,-095.5703477
Miami-Dade,FL,+25.6160085,-080.5037495
Dundy,NE,+40.1801650,-101.6811327
Leon,TX,+31.3004926,-095.9956219
Pitkin,CO,+39.2175407,-106.9161618
Grand Forks,ND,+47.9260026,-097.4508510
LaPorte,IN,+41.5490129,-086.7447386
Hamilton,IN,+40.0535128,-086.0217090
Emporia,VA,+36.6961820,-077.5359753
Lincoln,OK,+35.7031175,-096.8813917
Greeley,KS,+38.4804041,-101.8059697
Harris,GA,+32.7315494,-084.9124320
Screven,GA,+32.7447512,-081.6175849
San Juan,PR,+18.4222485,-066.0690807
Stonewall,TX,+33.1795797,-100.2538069
Henry,OH,+41.3315843,-084.0688996
Grafton,NH,+43.9264391,-071.8424242
Newton,MO,+36.9083713,-094.3350340
Posey,IN,+38.0276138,-087.8686526
McMullen,TX,+28.3849220,-098.5788529
Cumberland,IL,+39.2731210,-088.2406193
Walton,GA,+33.7838866,-083.7318290
Pope,MN,+45.5896228,-095.4467052
Rappahannock,VA,+38.6845215,-078.1688241
Amherst,VA,+37.6293013,-079.1547557
Ventura,CA,+34.3587477,-119.1331453
Crawford,IL,+39.0027865,-087.7606193
Park,CO,+39.1189141,-105.7176479
Los Angeles,CA,+34.1963983,-118.2618616
Yuma,AZ,+32.7739424,-113.9109050
Gordon,GA,+34.5096669,-084.8738622
Calhoun,IA,+42.3860614,-094.6436024
Highlands,FL,+27.3410799,-081.3423534
Covington,VA,+37.7810603,-079.9854337
Orange,VT,+44.0033729,-072.3695786
McPherson,KS,+38.3958120,-097.6474893
Pinal,AZ,+32.9185207,-111.3663394
Fulton,OH,+41.5972639,-084.1242667
Alamosa,CO,+37.5684423,-105.7880414
Citrus,FL,+28.8502922,-082.5955524
Culebra,PR,+18.3266113,-065.3077707
Dorado,PR,+18.4743757,-066.2619727
DeKalb,TN,+35.9822191,-085.8335959
Clarion,PA,+41.1981594,-079.4203691
Miner,SD,+44.0215411,-097.6081220
Jerauld,SD,+44.0634099,-098.6231702
Decatur,IN,+39.3059799,-085.4998310
Dubois,IN,+38.3733441,-086.8733845
Essex,VA,+37.9363890,-076.9337475
Williamsburg,SC,+33.6264617,-079.7164740
Essex,NY,+44.1096005,-073.7784307
Worth,IA,+43.3734910,-093.2485332
Hughes,OK,+35.0529339,-096.2511829
Buchanan,VA,+37.2681198,-082.0381508
Alleghany,VA,+37.7879048,-080.0086690
Lowndes,MS,+33.4714237,-088.4397227
Scott,IN,+38.6794309,-085.7518981
Prowers,CO,+37.9584430,-102.3917540
Sutton,TX,+30.5221852,-100.5133594
Sabana Grande,PR,+18.0844832,-066.9476086
Muskogee,OK,+35.6175506,-095.3839106
Christian,MO,+36.9697388,-093.1876139
Ciales,PR,+18.2959127,-066.5155884
Lamar,MS,+31.1975865,-089.5063691
Ripley,IN,+39.1002257,-085.2604937
Mercer,ND,+47.3071473,-101.8333279
Hart,GA,+34.3487328,-082.9632900
Jackson,LA,+32.3042901,-092.5616997
Northumberland,VA,+37.8569736,-076.3796872
Fort Bend,TX,+29.5266017,-095.7710149
Green Lake,WI,+43.7802469,-088.9703796
Pondera,MT,+48.2286037,-112.2207612
Walworth,WI,+42.6681095,-088.5417306
Mineral,NV,+38.5166470,-118.4162794
Fulton,IL,+40.4652401,-090.2022689
Suffolk,NY,+40.9435540,-072.6922183
Union,IN,+39.6230939,-084.9251448
McDonald,MO,+36.6279546,-094.3437164
Scotts Bluff,NE,+41.8505060,-103.7030213
San Miguel,NM,+35.4768585,-104.8035189
Lee,AL,+32.6040644,-085.3530477
Parker,TX,+32.7770964,-097.8059049
Dickey,ND,+46.1077559,-098.4965182
Barnes,ND,+46.9425500,-098.0701946
Sibley,MN,+44.5757343,-094.2301232
Upson,GA,+32.8818367,-084.2922831
Sonoma,CA,+38.5251824,-122.9261095
Chippewa,MI,+46.3218192,-084.5206297
Bonneville,ID,+43.3951708,-111.6218783
Barrow,GA,+33.9920094,-083.7123025
Long,GA,+31.7495633,-081.7428697
Kinney,TX,+29.3470865,-100.4177003
Ottawa,OK,+36.8357635,-094.8026814
Clearfield,PA,+41.0068618,-078.4777237
Clinton,MI,+42.9504550,-084.5916949
Santa Isabel,PR,+17.9529217,-066.3875885
Montgomery,IL,+39.2280681,-089.4781406
Alcorn,MS,+34.8865689,-088.5811091
Lafayette,MS,+34.3530780,-089.4853847
Grant,LA,+31.5977873,-092.5617156
Atchison,MO,+40.4318460,-095.4375546
Macon,IL,+39.8602372,-088.9615288
St. Joseph,MI,+41.9114878,-085.5228695
Franklin,IL,+37.9918516,-088.9263215
Garfield,MT,+47.2671843,-106.9959912
Adams,NE,+40.5206322,-098.5000441
Olmsted,MN,+43.9995004,-092.4100961
Union,NJ,+40.6598707,-074.3086957
Trujillo Alto,PR,+18.3353871,-066.0037874
Mobile,AL,+30.6845725,-088.1965682
McCook,SD,+43.6804155,-097.3580479
Fayette,AL,+33.7161568,-087.7642923
Chambers,AL,+32.9155039,-085.3940321
Northampton,NC,+36.4217739,-077.3983518
Moffat,CO,+40.6108644,-108.2171545
Green,KY,+37.2780653,-085.5379248
Franklin,IN,+39.4097620,-085.0669641
Beaufort,NC,+35.4823128,-076.8420144
Jayuya,PR,+18.2111522,-066.5868700
Burleigh,ND,+46.9788291,-100.4695326
Rowan,NC,+35.6413550,-080.5217214
Iron,MI,+46.1702542,-088.5405261
Kandiyohi,MN,+45.1527137,-095.0049812
Wolfe,KY,+37.7438929,-083.4951095
Fayette,TX,+29.8778861,-096.9212309
Lawrence,SD,+44.3485137,-103.8063624
Washington,ME,+44.9670088,-067.6093542
Briscoe,TX,+34.5251725,-101.2058930
Ontonagon,MI,+46.8352034,-089.2769429
Carroll,MS,+33.4407948,-089.9188870
Benton,OR,+44.4938816,-123.4246641
Rock,MN,+43.6695866,-096.2632376
Indiana,PA,+40.6514319,-079.0875451
Lincoln,LA,+32.6018231,-092.6623026
Perry,PA,+40.3977795,-077.2663284
Ziebach,SD,+44.9897638,-101.6608274
Harrison,TX,+32.5479914,-094.3744344
Baraga,MI,+46.6958592,-088.3618101
Rogers,OK,+36.3777941,-095.6013835
Boone,MO,+38.9898614,-092.3102022
Mayagüez,PR,+18.0838502,-067.8863370
Caddo,OK,+35.1679202,-098.3810447
Jefferson,CO,+39.5795106,-105.2454620
Cabell,WV,+38.4195778,-082.2433966
Reagan,TX,+31.3751911,-101.5143954
Van Buren,AR,+35.5829532,-092.5159757
Summit,CO,+39.6210227,-106.1375545
Cowley,KS,+37.2345068,-096.8372468
Johnson,AR,+35.5733586,-093.4663223
Hamilton,NY,+43.6578786,-074.5024556
Craig,VA,+37.4736031,-080.2310507
Coleman,TX,+31.9142052,-099.3466223
Yukon-Koyukuk,AK,+65.3756565,-151.5781764
Navajo,AZ,+35.3907852,-110.3210248
Lincoln,MS,+31.5352155,-090.4535663
Ochiltree,TX,+36.2787442,-100.8158636
Crane,TX,+31.4227965,-102.4877739
Big Horn,WY,+44.5251167,-107.9948477
Hickman,TN,+35.8023275,-087.4671159
Tunica,MS,+34.6522011,-090.3717697
Harrison,MO,+40.3456200,-093.9925818
Canóvanas,PR,+18.3300439,-065.8860206
Bartholomew,IN,+39.2058430,-085.8979988
Paulding,GA,+33.9210299,-084.8671693
Brown,OH,+38.9313769,-083.8667723
Putnam,TN,+36.1409404,-085.4961801
Ward,ND,+48.2166858,-101.5405369
Worcester,MA,+42.3116934,-071.9402820
Logan,OH,+40.3875532,-083.7663430
Kings,CA,+36.0724780,-119.8155301
San Diego,CA,+33.0236041,-116.7761174
Salinas,PR,+17.9714853,-066.2622515
Crawford,GA,+32.7094483,-083.9791685
Naguabo,PR,+18.2110697,-065.7357490
Cass,MO,+38.6464737,-094.3545467
Dutchess,NY,+41.7548253,-073.7400136
Washington,TX,+30.2150752,-096.4102717
Pueblo,CO,+38.1627652,-104.4846683
Douglas,MO,+36.9465168,-092.5158918
Bottineau,ND,+48.7944116,-100.8312572
Cumberland,NC,+35.0501921,-078.8287187
Hot Springs,WY,+43.7202092,-108.4350765
Alcona,MI,+44.6575092,-083.2945804
Placer,CA,+39.0620323,-120.7227181
Searcy,AR,+35.8963868,-092.6958884
Lynn,TX,+33.1784124,-101.8184933
Otsego,NY,+42.6297762,-075.0288410
Richmond,NC,+35.0046360,-079.7556946
Hoke,NC,+35.0172328,-079.2419635
Otoe,NE,+40.6379916,-096.1310274
Cameron,PA,+41.4382909,-078.1983225
Dorchester,SC,+33.0821859,-080.4046966
Waseca,MN,+44.0184598,-093.5898443
Brule,SD,+43.7298732,-099.0929090
Warren,TN,+35.6782498,-085.7773428
Clark,IL,+39.3323343,-087.7916832
Robertson,KY,+38.5134727,-084.0642300
Lake,TN,+36.3339054,-089.4855365
Berkeley,SC,+33.2077000,-079.9536554
Garland,AR,+34.5788522,-093.1469323
Osage,KS,+38.6502149,-095.7082554
Trumbull,OH,+41.3063744,-080.7703998
Mills,TX,+31.4948885,-098.5946231
Oldham,TX,+35.4019206,-102.5976203
Butler,PA,+40.9138467,-079.9189776
Idaho,ID,+45.8496440,-115.4673371
Marion,KS,+38.3596474,-097.1027707
Buckingham,VA,+37.5739280,-078.5291687
Cabarrus,NC,+35.3883455,-080.5527284
Webster,MO,+37.2808043,-092.8760795
Davis,UT,+41.0375594,-112.2019434
Cottonwood,MN,+44.0106386,-095.1831523
Okeechobee,FL,+27.3855924,-080.8873884
Union,GA,+34.8333330,-083.9892568
Black Hawk,IA,+42.4711317,-092.3076003
Sabine,TX,+31.3432997,-093.8519129
Pike,OH,+39.0713413,-083.0529107
Tuscaloosa,AL,+33.2902197,-087.5227834
Wilcox,AL,+31.9900824,-087.3049349
Montgomery,MS,+33.5007144,-089.6396251
Kearney,NE,+40.5091198,-098.9476019
Hitchcock,NE,+40.1768964,-101.0442170
New Castle,DE,+39.5759152,-075.6441324
Teton,ID,+43.7609939,-111.2117653
Rock Island,IL,+41.4684205,-090.5721252
Gloucester,VA,+37.4035413,-076.5235051
Sevier,AR,+33.9948773,-094.2432792
Cass,IN,+40.7537986,-086.3551685
Power,ID,+42.6941260,-112.8444070
Carroll,IN,+40.5849801,-086.5651412
Philadelphia,PA,+40.0093755,-075.1333459
Washakie,WY,+43.8788305,-107.6690520
Camden,NC,+36.3423438,-076.1624876
Tompkins,NY,+42.4530063,-076.4734835
Jefferson,AR,+34.2772390,-091.9296730
Lincoln,AR,+33.9563846,-091.7423550
Vernon,WI,+43.5993661,-090.8219835
Iron,MO,+37.6259709,-090.6995869
Hopkins,TX,+33.1489673,-095.5654337
Albany,NY,+42.5882401,-073.9740095
Houston,TX,+31.3230362,-095.4215995
Monroe,OH,+39.7262526,-081.0909834
Rush,KS,+38.5235962,-099.3091835
Montgomery,IN,+40.0402962,-086.8927145
Stanton,KS,+37.5659319,-101.7893829
Lee,KY,+37.6081160,-083.7192475
Koochiching,MN,+48.2453743,-093.7828956
Bexar,TX,+29.4486708,-098.5201465
Boulder,CO,+40.0949712,-105.3977104
Jefferson,TN,+36.0484520,-083.4412156
Mayes,OK,+36.3038040,-095.2356382
Watonwan,MN,+43.9781089,-094.6137980
Blaine,ID,+43.3941920,-113.9553713
Jefferson Davis,LA,+30.2695293,-092.8162205
Sully,SD,+44.7223248,-100.1313985
Denver,CO,+39.7618502,-104.8811054
Coal,OK,+34.5828612,-096.2880390
Carter,MT,+45.5168247,-104.5153243
Upton,TX,+31.3538163,-102.0415461
Gibson,IN,+38.3173981,-087.5805231
